taxon_key,taxon_name,common_name,eez_name,eez_neighbour,n_ens,emerging_yr,Tresh
600006,Coryphaena hippurus,Common dolphinfish,Bonaire (Netherlands),Venezuela,10,2056,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Puerto Rico (USA),British Virgin Isl. (UK),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,British Virgin Isl. (UK),Puerto Rico (USA),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Puerto Rico (USA),British Virgin Isl. (UK),10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,British Virgin Isl. (UK),Puerto Rico (USA),10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,US Virgin Islands,British Virgin Isl. (UK),10,2012,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,British Virgin Isl. (UK),US Virgin Islands,10,2012,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,US Virgin Islands,British Virgin Isl. (UK),10,2016,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,British Virgin Isl. (UK),US Virgin Islands,10,2016,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,China,Brunei Darussalam,10,2016,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Brunei Darussalam,China,10,2016,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Philippines,Brunei Darussalam,10,2007,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Brunei Darussalam,Philippines,10,2007,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Philippines,Brunei Darussalam,10,2026,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Brunei Darussalam,Philippines,10,2026,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Taiwan,Brunei Darussalam,10,2015,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Brunei Darussalam,Taiwan,10,2015,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Taiwan,Brunei Darussalam,10,2075,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Brunei Darussalam,Taiwan,10,2075,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Vietnam,Brunei Darussalam,10,2017,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Brunei Darussalam,Vietnam,10,2017,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Vietnam,Brunei Darussalam,10,2074,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Brunei Darussalam,Vietnam,10,2074,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Honduras (Caribbean),Cayman Isl. (UK),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Cayman Isl. (UK),Honduras (Caribbean),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Honduras (Caribbean),Cayman Isl. (UK),10,2073,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Cayman Isl. (UK),Honduras (Caribbean),10,2073,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Jamaica,Cayman Isl. (UK),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Cayman Isl. (UK),Jamaica,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Jamaica,Cayman Isl. (UK),10,2007,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Cayman Isl. (UK),Jamaica,10,2007,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Maldives,Chagos Archipelago (UK),10,2048,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Chagos Archipelago (UK),Maldives,10,2048,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Maldives,Chagos Archipelago (UK),10,2097,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Chagos Archipelago (UK),Maldives,10,2097,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Indonesia (Central),China,10,2038,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,China,Indonesia (Central),10,2038,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Indonesia (Central),China,10,2055,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,China,Indonesia (Central),10,2055,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Malaysia (Sarawak),China,10,2007,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,China,Malaysia (Sarawak),10,2007,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Malaysia (Sarawak),China,10,2078,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,China,Malaysia (Sarawak),10,2078,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Philippines,China,10,2075,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,China,Philippines,10,2075,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Philippines,China,10,2085,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,China,Philippines,10,2085,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Taiwan,China,10,2083,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,China,Taiwan,10,2083,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Vietnam,China,10,2009,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,China,Vietnam,10,2009,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Vietnam,China,10,2010,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,China,Vietnam,10,2010,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Indonesia (Indian Ocean),Christmas Isl. (Australia),10,2013,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Christmas Isl. (Australia),Indonesia (Indian Ocean),10,2013,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Indonesia (Indian Ocean),Christmas Isl. (Australia),10,2018,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Christmas Isl. (Australia),Indonesia (Indian Ocean),10,2018,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Dominican Republic,Colombia (Caribbean),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Dominican Republic,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Dominican Republic,Colombia (Caribbean),10,2008,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Dominican Republic,10,2008,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Haiti,Colombia (Caribbean),10,2011,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Haiti,10,2011,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Haiti,Colombia (Caribbean),10,2016,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Haiti,10,2016,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Jamaica,Colombia (Caribbean),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Jamaica,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Jamaica,Colombia (Caribbean),10,2070,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Jamaica,10,2070,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Nicaragua (Caribbean),Colombia (Caribbean),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Nicaragua (Caribbean),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Nicaragua (Caribbean),Colombia (Caribbean),10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Nicaragua (Caribbean),10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Panama (Caribbean),Colombia (Caribbean),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Panama (Caribbean),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Panama (Caribbean),Colombia (Caribbean),10,2019,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Panama (Caribbean),10,2019,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Venezuela,Colombia (Caribbean),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Venezuela,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Venezuela,Colombia (Caribbean),10,2027,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Caribbean),Venezuela,10,2027,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Costa Rica (Pacific),Colombia (Pacific),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Pacific),Costa Rica (Pacific),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Costa Rica (Pacific),Colombia (Pacific),10,2080,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Pacific),Costa Rica (Pacific),10,2080,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Ecuador,Colombia (Pacific),10,2060,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Pacific),Ecuador,10,2060,Tresh_one
